Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
631,2017-09-27,Myupchar,Consumer Internet,Local Language Health Information Portal,New Delhi,Letsventure,Seed Funding,300000.0
632,2017-09-28,Aadyah,Technology,Defense Tech & Aerospace Startup,Bangalore,Keiretsu Forum,Private Equity,1000000.0
633,2017-08-01,Touchkin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,1300000.0
636,2017-08-02,Zepo,Consumer Internet,Diy Ecommerce Platform,Mumbai,"Kunal Shah, Letsventure, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.0
637,2017-08-02,Click2Clinic,Consumer Internet,Healthcare Service Aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.0
638,2017-08-03,Speedbox,Logistics,On-Demand Logistics Service Provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.0
646,2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed Investors,Seed Funding,243000.0
647,2017-08-08,My Forex Eye,Consumer Internet,Foreign Exchange Services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma And Others",Seed Funding,220000.0
648,2017-08-09,Truxapp,Logistics,Mobile Based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian Family & Others",Seed Funding,3100000.0
649,2017-08-09,Crofarm,Technology,Agriculture Supply Chain Solutions,Gurgaon,Factor[E] Ventures,Seed Funding,783000.0
652,2017-08-11,Flipkart,Ecommerce,Online Marketplace,Bangalore,Softbank,Private Equity,2500000000.0
654,2017-08-11,Ola Cabs,Consumer Internet,App Based Cab Aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,36000000.0
656,2017-08-14,Digilend,Technology,Personal Loans & Emi Solutions Platform,Mumbai,"Incred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000.0
657,2017-08-15,Knab Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"Incred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000.0
659,2017-08-20,Rootefy,Ecommerce,Building Material Online Store,New Delhi,"Abhinav Gupta,",Seed Funding,187000.0
660,2017-08-21,Uniphore,Technology,Speech Recognition Startup,Chennai,Idg Ventures,Private Equity,6800000.0
661,2017-08-21,Cerebroz,Consumer Internet,E-Tech Platform,Vadodara,Undisclosed Hni\\Xe2\\X80\\X99S,Seed Funding,734000.0
665,2017-08-23,Dhruva,Technology,Cloud Data Protection And Management Solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000.0
666,2017-08-23,Bombay Shaving Company,Ecommerce,Men Grooming Product Etailer,New Delhi,Fireside Ventures,Private Equity,2300000.0
668,2017-08-23,Indiez,Technology,Software & Mobile App Development Platform,Bangalore,Haresh Chawla,Seed Funding,500000.0
669,2017-08-24,Ezetap,Technology,Mpos Solutions Provider,Bangalore,"Js Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000.0
670,2017-08-25,Ink Monk,Consumer Internet,Online Printing Marketplace,Chennai,"Vamm Ventures, Raksul, Dena",Seed Funding,750000.0
671,2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"Pbs Srinivas, Vinod Martin,",Seed Funding,125000.0
672,2017-08-28,Mobikon,Technology,Restaurant & Hotel Crm Platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000.0
673,2017-08-29,Curefit,Consumer Internet,End To End Health And Wellness Platform.,Bangalore,"Accel Partners, Idg Ventures, Kalaari Capital,\\Xc2\\Xa0 Uc-Rnt Fund",Private Equity,25000000.0
674,2017-08-29,Doxper,Technology,Healthtech Iot Platform,Mumbai,"Idal Health, Growx Ventures, Capier Investments, Globevestor & Others",Seed Funding,750000.0
676,2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator Platform,Bangalore,"Ward Ferry Management And Karst Peak Capital,",Private Equity,34000000.0
677,2017-08-30,Medgenome,Technology,Genomics Research And Diagnostics Solutions,Bangalore,"Sequoia India, Sofina S.A., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000.0
678,2017-07-01,Billion Loans,Consumer Internet,Peer To Peer Lending Platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.0
679,2017-07-03,Ecolibriumenergy,Technology,Energy Management Solutions Provider,Ahmedabad,"Infuse Ventures, Jll",Private Equity,2600000.0
680,2017-07-04,Droom,Ecommerce,Online Marketplace For Automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000.0
681,2017-07-05,Jumbotail,Ecommerce,Online Marketplace For Food And Grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000.0
682,2017-07-05,Moglix,Ecommerce,B2B Marketplace For Industrial Products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000.0
683,2017-07-05,Timesaverz,Consumer Internet,Hyperlocal Home Services Provider,Mumbai,Bccl,Private Equity,1000000.0
686,2017-07-07,Clip App,Consumer Internet,Digital Media Video Platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000.0
688,2017-07-10,Autorox.Co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000.0
689,2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery Platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0
690,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.0
692,2017-07-12,Innoviti,Technology,Digital Payments Solutions,Bangalore,"Sbi-Fmo Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000.0
696,2017-07-14,Qwikspec,Technology,Construction Site Operations And Analytics Platform,Bangalore,"Brigade Innovations Llp, Tv Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000.0
697,2017-07-14,Chumbak,Ecommerce,Designer Consumer Products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000.0
698,2017-07-17,Increff,Technology,Sales Solutions For Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000.0
699,2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"Idg Ventures India Advisors, Jungle Ventures",Private Equity,4000000.0
704,2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"Ain Capital Ventures, Renaud Laplanche",Private Equity,10000000.0
706,2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,Abi-Showatech (India) Ltd,Seed Funding,600000.0
707,2017-07-20,Trupay,Technology,Online Payments Platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,700000.0
708,2017-07-21,Brick2Wall,Ecommerce,Online Marketplace For Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000.0
